,fname,summary,topic,dialogue
8785,train_8785,#Person1#과 #Person2#는 노래에 대해 이야기합니다. 그들 모두 그것이 감성적이고 에너지와 희망이 가득하기 때문에 즐깁니다.,음악,#Person1#: 음악 좋아해요? 
#Person2#: 그건 상황에 따라 다르죠. 
#Person1#: 음악이 잘 어울린다고 생각하나요? 
#Person2#: 아니요, 음악이 너무 빠른 것 같아요. 
#Person1#: 노래 가사는 어떠세요? 
#Person2#: 듣기 좋아요. 
#Person1#: 저도 좋아해요. 자연스럽게 감정을 불러일으키죠. 
#Person2#: 네, 그렇게 생각해요. 매우 감성적이에요. 
#Person1#: 물론이죠, 그리고 저도 리듬이 좋아요. 
#Person2#: 에너지가 넘치고 희망이 가득해요. 
#Person1#: 정말. 듣고 즐길 만합니다.
#Person2#: 확실히 그렇죠. 아카데미상을 받을 만큼 가치가 있어요."
8754,train_8754,#Person1#과 #Person2#는 노래에 대해 이야기합니다. 그들 모두 그것이 감성적이고 에너지와 희망이 가득하기 때문에 즐깁니다.,음악,"#Person1#: 음악 좋아하시나요?
#Person2#: 그건 상황에 따라 다르죠. 
#Person1#: 음악이 잘 어울린다고 생각하시나요?
#Person2#: 아니요, 음악이 너무 빠른 것 같아요.
#Person1#: 노래 가사는 어떠신가요?
#Person2#: 듣기 좋아요.
#Person1#: 저도 좋아해요. 자연스럽게 감정을 자극할 수 있어요.
#Person2#: 네, 그렇게 생각해요. 매우 감성적이에요.
#Person1#: 물론이죠, 그리고 저도 리듬이 좋아요.
#Person2#: 에너지가 넘치고 희망이 가득해요.
#Person1#: 정말이죠. 정말. 듣고 즐길 만합니다.
#Person2#: 확실히 그렇죠. 아카데미상을 받을 만해요."
3654,train_3654,#Person1#와 파커는 다음 수요일에 만날 예정이다.,일상 대화,"#Person1#: 안녕, 파커. 별일 없지?
#Person2#: 그럭저럭 잘 지내. 너는 어때?
#Person1#: 사업이 번창하고 있어. 다음 주에 나랑 만나고 싶어 한다고 들었어. 네 일정은 어떻게 돼?
#Person2#: 어디 보자. 수요일 아침 일찍 널 만나러 갈 수 있어.
#Person1#: 좋아."
875,train_875,#Person1#와 파커는 다음 수요일에 만날 예정이다.,만남 계획,"#Person1#: 안녕하세요, 파커. 어떻게 지내세요?
#Person2#: 불만 없이 보내고 있어요. 당신은요?
#Person1#: 사업이 호황을 누리고 있어요. 다음 주에 저와 만나고 싶다고 하셨죠? 일정은 어떻게 되시나요?
#Person2#: 잠깐 확인해볼게요. 수요일 아침 일찍 만나러 갈 수 있어요.
#Person1#: 좋아요."
7550,train_7550,"#Person1#은 #Person2#에게 숙제를 하라고 요청하지만, #Person2#는 먼저 콘서트 연습을 하고 싶어합니다.",아빠와의 대화,"#Person1#: 왜 숙제를 안 하고 있니?
#Person2#: 나중에 할게요, 아빠. 토요일에 있을 콘서트 준비를 해야 해요.
#Person1#: 그래? 다음엔 레코드도 만들 거니?
#Person2#: 그렇게 되길 바라요.
#Person1#: 숙제부터 해! 일요일에 연습할 수 있어.
#Person2#: 아빠, 전혀 이해를 못 하시네요.
#Person1#: 분명히 이해할 수 있어. 다음 달에 시험이 있잖아.
#Person2#: 기타 치는 데 그런 건 필요 없어요.
#Person1#: 그래? 하느님, 제발요!
#Person2#: 미안해요."
7551,train_7551,"#Person1#은 #Person2#에게 숙제를 하라고 요청하지만, #Person2#는 먼저 콘서트 연습을 하고 싶어합니다.",경로 확인,"#Person1#: 좋아, 최신 지도를 가지고 있어. 여기서 공항까지의 경로를 확인해보자.
#Person2#: 우리는 어디에 있지? 아, 여기 있네. 그럼 우리는 A120로 가서 왼쪽으로 돌아.
#Person1#: 아니, 우리는 오른쪽으로 돌아. 우리가 이 방향에서 오고 있다는 걸 기억해.
#Person2#: 아, 그래! 미안! 그럼 우리는 M11 고속도로로 가.
#Person1#: 그게 얼마나 먼 거야?
#Person2#: 단지 7마일밖에 안 돼. 우리는 고속도로로 가기 위해 왼쪽으로 돌아서 남쪽으로 가.
#Person1#: 지도에 따르면, 우리는 M11에서 두 번째 분기점에서 내려서 M25에 합류해. 그게 런던 주변을 도는 고속도로야.
#Person2#: 그게 또 15마일이니까, 지금까지 총 22마일이네.
#Person1#: 그럼 우리는 M25에서 서쪽으로 가. 우리는 올바른 방향으로 돌아야 해!
#Person2#: 그럼 우리는 M25를 따라 가. 그것은 남쪽으로 돌아. 우리가 15번 출구에 도달하면, 왼쪽으로 돌아서 M4를 따라 서쪽으로 가.
#Person1#: 그럼 우리는 히드로 공항 첫 번째를 가. 총 거리는 얼마야?
#Person2#: M25 주변의 여행은 33마일이고, 그리고 공항에 가기 위해 추가로 3마일이야. 그럼 총 몇 마일이야?
#Person1#: M25까지 22마일, M25에서 33마일, 그리고 그 후에 3마일. 총 58마일이지, 맞지?
#Person2#: 그 거리를 커버하는 데는 우리에게 그리 오래 걸리지 않아야 해. 우리가 고속도로에서는 꽤 빠르게 갈 수 있다는 걸 기억해.
#Person1#: 교통이 그리 많지 않을 때만 고속도로에서 빠르게 갈 수 있어. 나는 우리가 거기에 도착하는 데 충분한 시간을 허락해야 한다고 생각해. 일찍 도착하는 것이 늦게 도착하는 것보다 훨씬 낫다."
1076,train_1076,#Person1#은 #Person2#에게 출퇴근 방식과 철도 서비스에 대한 의견을 물어본다.,철도 서비스,"#Person1#: 실례지만 잠시만 시간을 내 주실 수 있으세요?
#Person2#: 음, 네.
#Person1#: 매일 기차로 출근하시나요?
#Person2#: 네, 일주일에 5일은 기차로 출퇴근해요.
#Person1#: 철도 서비스에 대한 생각을 말씀해주실 수 있으세요?
#Person2#: 정말 좋아요.
#Person1#: 왜 그렇게 생각하시나요?
#Person2#: 기차가 자주 오고, 시간도 정확해요.
#Person1#: 저녁에는 어떤 기차를 타세요?
#Person2#: 보통 5시 30분 기차를 타요.
#Person1#: 그럼 자리는 있나요?
#Person2#: 아니요, 보통 서서 가요.
#Person1#: 서비스가 빠르다고 생각하시나요?
#Person2#: 네, 꽤 빠르다고 생각해요, 하지만 확실히 싸지는 않아요. 요금이 25% 상승했어요."
